Brand,Model,Interface,Form Factor,Capacities,Lowest Storage Capacity,Highest Storage Capacity,Controller,Configuration,DRAM,HMB,NAND Brand,NAND Type,Layers,Read (MB/s),Write (MB/s),Categories,Lowest Price,Highest Price,Number of Ratings,Rating,Disk Rating,Amazons Choice,Product Link
ADATA,SX8800,x4 PCIe 3.0/NVMe,M.2,512GB-1TB,512GB,1TB,Realtek RTS5762,"Dual-core, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,64/96,3500,2700,Mid-Range NVMe,,,Unavailable,Unavailable,17190,Unavailable,Unavailable
ADATA,XPG Indigo,x4 PCIe 4.0/NVMe,M.2,Up to 4TB,Unavailable,4TB,SMI SM2264,"QC (12nm R8), 8-ch, 8-CE/ch",Yes,No,Micron,TLC,64/97,7000,6000,High-End NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
ADATA,XPG Pearl,x4 PCIe 4.0/NVMe,M.2,Up to 4TB,Unavailable,4TB,SMI SM2267,"DC (28nm R5), 4-ch, 8-CE/ch",Yes,No,Micron,TLC,64/98,4000,3000,High-End NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
ADATA,XPG Sage,x4 PCIe 4.0/NVMe,M.2,Up to 4TB,Unavailable,4TB,InnoGrit IG5236,"Quad-core, 8-ch",Yes,No,Micron,TLC,96,7000,6100,High-End NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Addlink,A90,x4 PCIe 4.0/NVMe,M.2,1TB-2TB,1TB,2TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,176,5000,4400,Mid-Range NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Addlink,A92,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,1TB,4TB,Phison E16,"Dual R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,QLC,96,4900,3600,Mid-Range NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Addlink,A95,x4 PCIe 4.0/NVMe,M.2,1TB-4TB,1TB,4TB,Phison E18,"Triple R5 + CoX, 8-ch, 4-CE/ch",Yes,No,Micron,TLC,176,7400,7000,High-End NVMe,69.88,244.44,1694,4.7,Unavailable,No,https://amzn.to/48xm0K7
Addlink,S20,SATA/AHCI,2.5,512GB-2TB,256GB,2TB,Phison S10,"Quad-core, 8-ch, 4-CE/ch",Yes,No,Kioxia,TLC,64,530,500,Mid-Range SATA,29.44,84.44,432,4.6,Unavailable,Yes,https://amzn.to/43mpX0g
Addlink,S20M,SATA/AHCI,2.5,256GB-1TB,256GB,1TB,Maxio MAS080X,"Single-core, 4x8",No,N/A,Kioxia,TLC,96,550,500,Entry-Level SATA,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Addlink,S22,SATA/AHCI,2.5,512GB-2TB,512GB,2TB,Phison S11T,"Single-core, 2-ch, 8-CE/ch",No,N/A,Intel,QLC,64,550,500,Entry-Level SATA,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
Addlink,S68,x4 PCIe 3.0/NVMe,M.2,256GB-1TB,256GB,1TB,Phison E13T,"Single-core, 4-ch, 8-CE/ch",No,Yes,Micron,TLC,96,2500,2100,Entry-Level NVMe,,,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
